,key_number,key_id
0,1,21
1,2,22
2,3,23
3,4,24
4,5,25
5,6,26
6,7,27
7,8,28
8,9,29
9,10,30
10,11,31
11,12,32
12,13,33
13,14,34
14,15,35
15,16,36
16,17,37
17,18,38
18,19,39
19,20,40
20,21,41
21,22,42
22,23,43
23,24,44
24,25,45
25,26,46
26,27,47
27,28,48
28,29,49
29,30,50
30,31,51
31,32,52
32,33,53
33,34,54
34,35,55
35,36,56
36,37,57
37,38,58
38,39,59
39,40,60
40,41,61
41,42,62
42,43,63
43,44,64
44,45,65
45,46,66
46,47,67
47,48,68
48,49,69
49,50,70
50,51,71
51,52,72
52,53,73
53,54,74
54,55,75
55,56,76
56,57,77
57,58,78
58,59,79
59,60,80
60,61,81
61,62,82
62,63,83
63,64,84
64,65,85
65,66,86
66,67,87
67,68,88
68,69,89
69,70,90
70,71,91
71,72,92
72,73,93
73,74,94
74,75,95
75,76,96
76,77,97
77,78,98
78,79,99
79,80,100
80,81,101
81,82,102
82,83,103
83,84,104
84,85,105
85,86,106
86,87,107
87,88,108
